scenario,vol,p1,p2,path,seed,estimator,j,theta_hat,n1,n2
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,4,0.0,2049,2049
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,5,28.0,2049,2049
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,6,-6.0,2049,2049
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,7,-8.0,2049,2049
heston_lm_high,heston,0.25,0.75,2,1599278428,previous_tick_interpolated,8,-95.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,1,26.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,2,57.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,3,2.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,4,2.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,5,1.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,6,3.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,7,-4.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,HK_HY_non_sync,8,8.0,1541,513
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,1,20.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,2,79.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,3,1.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,4,0.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,5,-2.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,6,-1.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,7,-13.0,2049,2049
heston_lm_high,heston,0.25,0.75,3,338715847,previous_tick_interpolated,8,-5.0,2049,2049
